단체명,지방세징수율제고노력도,지방세체납액축소노력도,경상세외수입확충노력도,세외수입체납액축소노력도,탄력세율적용노력도,인건비절감노력도,지방의회경비절감노력도,업무추진비절감노력도,행사축제경비절감노력도,민간이전경비절감노력도
부산 기장군,1.0156 ,-0.2799 ,1.1850 ,-0.1018 ,0.9957 ,0.0877 ,0.1058 ,0.2792 ,-0.2216 ,-0.4401 
대구 달성군,1.0079 ,-0.0463 ,1.1356 ,-0.1667 ,0.9966 ,0.0452 ,0.3157 ,0.1544 ,-0.1147 ,-0.0086 
인천 강화군,1.0069 ,-0.4000 ,1.0728 ,0.0092 ,0.9931 ,0.0125 ,0.0716 ,0.1175 ,-0.0648 ,-0.0154 
울산 울주군,1.0037 ,-0.1015 ,1.0650 ,-0.0840 ,0.9974 ,0.0991 ,0.1002 ,0.0336 ,-0.0442 ,0.0738 
경기 양평군,1.0487 ,-0.1539 ,1.0108 ,-0.1471 ,0.9965 ,0.0232 ,0.0226 ,0.7470 ,-0.0939 ,0.0942 
경기 가평군,0.9963 ,-0.2857 ,1.0707 ,0.0090 ,0.9967 ,-0.0216 ,0.2647 ,0.3513 ,-0.8024 ,-0.0113 
강원 홍천군,1.0164 ,-0.1878 ,1.0206 ,0.0064 ,0.9960 ,0.0102 ,0.2166 ,0.1881 ,-0.0990 ,-0.0390 
충북 청원군,1.0065 ,-0.1495 ,0.9991 ,-0.1694 ,0.9972 ,0.0251 ,0.1386 ,0.1134 ,-0.1469 ,0.0530 
충북 진천군,0.9835 ,-0.4067 ,1.0925 ,-0.1441 ,0.9990 ,-0.0229 ,0.2194 ,0.1114 ,0.1605 ,-0.0198 
충북 음성군,0.9966 ,-0.5198 ,1.0840 ,-0.0335 ,1.0000 ,-0.0047 ,0.3316 ,0.0373 ,-1.0185 ,0.1541 
충남 부여군,0.9942 ,-0.2107 ,1.1208 ,-0.0588 ,0.9922 ,0.0185 ,0.3342 ,0.1124 ,0.0594 ,0.0266 
충남 홍성군,1.0340 ,-0.2141 ,0.9989 ,-0.2151 ,0.9937 ,0.0881 ,0.1497 ,0.1864 ,-0.1732 ,0.0117 
