단체명,지방세징수율제고노력도,지방세체납액축소노력도,경상세외수입확충노력도,세외수입체납액축소노력도,탄력세율적용노력도,인건비절감노력도,지방의회경비절감노력도,업무추진비절감노력도,행사축제경비절감노력도,민간이전경비절감노력도
경기 의정부시,1.0105 ,-0.3586 ,1.0169 ,-0.1117 ,0.9954 ,0.0460 ,0.1495 ,0.1386 ,-0.1833 ,-0.1209 
경기 평택시,1.0153 ,-0.3993 ,1.1084 ,-0.1025 ,0.9962 ,0.0730 ,0.5271 ,0.2215 ,0.1942 ,-0.1574 
경기 시흥시,1.0229 ,-0.1769 ,1.0983 ,-0.0474 ,0.9959 ,0.0284 ,0.1040 ,0.3980 ,-0.1561 ,0.1293 
경기 광명시,0.9955 ,-0.2635 ,1.0118 ,-0.0254 ,0.9944 ,-0.0274 ,0.0494 ,0.0640 ,-0.1431 ,-0.0632 
경기 파주시,1.0103 ,-0.3802 ,1.0432 ,-0.2866 ,0.9969 ,0.0970 ,0.0995 ,0.0117 ,-0.3537 ,-0.2330 
경기 군포시,1.0258 ,-0.2439 ,0.9305 ,-0.0742 ,0.9949 ,-0.0332 ,0.1974 ,-0.1136 ,0.2197 ,0.0499 
경기 광주시,1.0014 ,-0.2867 ,1.0458 ,-0.0623 ,0.9977 ,0.1048 ,0.0441 ,0.1078 ,0.1343 ,-0.2524 
경기 김포시,1.0031 ,-0.4385 ,0.9658 ,-0.2150 ,0.9960 ,0.0179 ,0.2761 ,0.1032 ,-0.0053 ,0.2321 
경기 오산시,0.9891 ,-0.2997 ,0.9588 ,-0.1013 ,0.9966 ,0.0303 ,0.2520 ,0.2237 ,0.2927 ,0.0448 
강원 춘천시,1.0103 ,-0.0689 ,0.9673 ,-0.0850 ,0.9952 ,0.0604 ,0.1292 ,0.1480 ,-0.3609 ,-0.0263 
강원 원주시,1.0089 ,-0.1662 ,1.0442 ,-0.3696 ,0.9962 ,0.0999 ,0.2511 ,0.1377 ,0.0774 ,0.0090 
충남 아산시,1.0115 ,-0.1929 ,1.1533 ,-0.1892 ,0.9973 ,0.0127 ,0.1046 ,0.1905 ,-0.2363 ,0.0827 
전북 군산시,0.9989 ,-0.2273 ,1.0519 ,-0.0474 ,0.9952 ,0.0012 ,0.1722 ,0.0850 ,0.2821 ,-0.0163 
전북 익산시,1.0128 ,-0.2738 ,1.0634 ,-0.0658 ,0.9932 ,0.0668 ,0.0463 ,0.0427 ,0.2570 ,0.0107 
전남 여수시,0.9972 ,-0.1361 ,1.0990 ,-0.7169 ,0.9975 ,0.0018 ,0.0830 ,0.0945 ,-0.8447 ,-0.1454 
전남 순천시,1.0203 ,-0.0235 ,1.1198 ,-0.2310 ,0.9960 ,0.0374 ,0.0466 ,0.0753 ,-0.0266 ,-0.2522 
경북 경주시,0.9853 ,-0.3570 ,0.9823 ,0.2855 ,0.9955 ,-0.0046 ,0.2257 ,0.0563 ,0.3269 ,0.0989 
경북 구미시,1.0026 ,-0.1946 ,1.1045 ,-0.0662 ,0.9973 ,0.0481 ,-0.0205 ,0.0552 ,0.4558 ,0.4833 
경남 진주시,1.0031 ,-0.2538 ,1.0247 ,-0.0681 ,0.9955 ,0.0367 ,0.0538 ,0.0835 ,-0.1897 ,-0.1622 
경남 거제시,1.0013 ,-0.1568 ,0.9343 ,-0.1746 ,0.9982 ,0.0718 ,0.1488 ,0.0748 ,0.1312 ,-0.0196 
경남 양산시,1.0267 ,-0.0434 ,1.0918 ,0.0389 ,0.9985 ,0.0388 ,0.0893 ,0.0323 ,-0.0076 ,0.1479
