단체명,지방세징수율제고노력도,지방세체납액축소노력도,경상세외수입확충노력도,세외수입체납액축소노력도,탄력세율적용노력도,인건비절감노력도,지방의회경비절감노력도,업무추진비절감노력도,행사축제경비절감노력도,민간이전경비절감노력도
서울 성북구,0.9983 ,-0.3788 ,1.0121 ,0.0085 ,0.9800 ,0.1018 ,0.1595 ,0.2304 ,0.0497 ,-0.0676 
서울 노원구,1.0016 ,-0.1748 ,1.0960 ,-0.1617 ,0.9765 ,0.0682 ,0.0937 ,0.3978 ,0.1127 ,-0.1617 
서울 은평구,0.9922 ,-0.5800 ,1.0397 ,-0.1089 ,0.9766 ,0.0675 ,0.0506 ,0.4201 ,0.2102 ,-0.0594 
서울 마포구,1.0051 ,-0.1012 ,1.0981 ,-0.0878 ,0.9895 ,0.1199 ,0.0701 ,0.3537 ,0.1515 ,-0.0457 
서울 양천구,0.9930 ,-0.5456 ,1.0450 ,-0.1745 ,0.9848 ,0.1420 ,0.0740 ,0.5187 ,0.1934 ,-0.0423 
서울 강서구,1.0046 ,-0.2416 ,1.0738 ,-0.0789 ,0.9845 ,0.1277 ,0.0460 ,0.4366 ,-0.0144 ,-0.0905 
서울 영등포구,1.0023 ,-0.2163 ,0.9837 ,-0.1531 ,0.9914 ,0.0923 ,0.1013 ,0.4134 ,0.1330 ,-0.1091 
서울 관악구,1.0008 ,-0.2826 ,1.0605 ,-0.1133 ,0.9738 ,0.0986 ,0.1119 ,0.3895 ,0.1013 ,-0.0863 
서울 서초구,1.0001 ,-0.2536 ,1.0390 ,-0.0980 ,0.9960 ,0.1526 ,0.0545 ,0.5143 ,-0.0448 ,-0.5994 
서울 강남구,0.9998 ,-0.1681 ,0.9811 ,-0.0793 ,0.9971 ,0.1588 ,0.0322 ,0.3726 ,-0.0920 ,-0.0781 
서울 송파구,0.9980 ,-0.1751 ,1.0224 ,-0.1655 ,0.9925 ,0.1259 ,0.0995 ,0.2466 ,-0.1404 ,-0.3021 
서울 강동구,0.9994 ,-0.2603 ,1.0651 ,-0.0716 ,0.9864 ,0.1479 ,0.1074 ,0.4137 ,0.1774 ,-0.0156
