단체명,지방세징수율제고노력도,지방세체납액축소노력도,경상세외수입확충노력도,세외수입체납액축소노력도,탄력세율적용노력도,인건비절감노력도,지방의회경비절감노력도,업무추진비절감노력도,행사축제경비절감노력도,민간이전경비절감노력도,노력도
서울 종로구,1.0019 ,-0.2917 ,1.0018 ,-0.0291 ,0.9961 ,0.1014 ,0.0744 ,0.4358 ,,-0.0616 ,-3.4860 
서울 중구,1.0001 ,-0.3038 ,0.9486 ,-0.1425 ,0.9977 ,0.0745 ,0.2218 ,0.4471 ,,0.1083 ,-0.2199 
서울 용산구,0.9317 ,-2.1388 ,0.9887 ,-0.1144 ,0.9942 ,0.1354 ,0.0938 ,0.3818 ,,0.1979 ,-0.0137 
서울 성동구,1.0016 ,-0.2933 ,1.0799 ,0.0388 ,0.9888 ,0.0900 ,0.0745 ,0.4182 ,,0.1557 ,-0.2073 
서울 광진구,1.0031 ,-0.3853 ,1.0406 ,0.0835 ,0.9846 ,0.0891 ,0.1809 ,0.4693 ,,-0.1187 ,-0.0875 
서울 동대문구,1.0012 ,-0.6011 ,1.0787 ,0.0449 ,0.9845 ,0.0692 ,-0.0209 ,0.3782 ,,0.1991 ,0.0018 
서울 중랑구,0.9976 ,-0.3304 ,1.0342 ,-0.1037 ,0.9736 ,0.0754 ,0.0987 ,0.4921 ,,-0.2935 ,-0.0197 
서울 강북구,0.9997 ,-0.3948 ,1.0634 ,-0.0735 ,0.9739 ,0.1165 ,0.0541 ,0.4451 ,,-0.2848 ,-0.0172 
서울 도봉구,0.9986 ,-0.2569 ,1.0660 ,-0.1238 ,0.9750 ,0.0858 ,0.0643 ,0.4410 ,,-0.1230 ,-0.1542 
서울 서대문구,1.0044 ,-0.3554 ,1.0412 ,-0.1035 ,0.9838 ,0.0977 ,0.1398 ,0.4631 ,,-0.1918 ,-0.0840 
서울 구로구,0.9993 ,-0.5034 ,1.0523 ,-0.0575 ,0.9841 ,0.1119 ,0.1117 ,0.4425 ,,-0.3227 ,-0.0993 
서울 금천구,1.0012 ,-0.3416 ,1.0341 ,-0.1057 ,0.9862 ,0.1292 ,0.0342 ,0.5252 ,,0.0966 ,-0.0362 
서울 동작구,0.9997 ,-1.7309 ,1.0499 ,0.0730 ,0.9830 ,0.1252 ,-0.0114 ,0.4194 ,,0.0842 ,-6.6828
